County,Confirmed,Probable,Fatalities
Anderson,5123,3041,208
Andrews,2991,5,65
Angelina,6776,7154,423
Aransas,2052,610,67
Archer,1141,211,24
Armstrong,217,111,8
Atascosa,6872,2009,209
Austin,2888,908,57
Bailey,750,328,29
Bandera,1768,736,64
Bastrop,10866,3827,189
Baylor,214,388,24
Bee,4612,806,136
Bell,34746,5303,747
Bexar,273537,59262,5314
Blanco,925,408,28
Borden,31,13,2
Bosque,1888,653,57
Bowie,7896,5439,348
Brazoria,49498,13008,864
Brazos,33726,5722,358
Brewster,892,219,23
Briscoe,174,84,7
Brooks,879,263,47
Brown,3445,3832,175
Burleson,2689,657,60
Burnet,6470,1265,133
Caldwell,7356,1347,156
Calhoun,2790,1154,39
Callahan,929,1037,58
Cameron,54389,13249,1832
Camp,1324,830,67
Carson,611,285,28
Cass,2839,1819,159
Castro,1093,365,40
Chambers,8933,3,59
Cherokee,2499,4414,228
Childress,1760,68,22
Clay,1427,195,26
Cochran,429,88,20
Coke,308,395,18
Coleman,761,462,58
Collin,110194,26164,1198
Collingsworth,329,125,11
Colorado,2125,541,55
Comal,11989,8856,471
Comanche,1783,623,67
Concho,440,322,10
Cooke,4302,1002,106
Coryell,10008,941,169
Cottle,200,57,9
Crane,315,661,19
Crockett,246,550,17
Crosby,646,473,40
Culberson,378,33,11
Dallam,1110,267,31
Dallas,357292,67232,5719
Dawson,2213,36,81
Deaf Smith,2613,1003,89
Delta,411,290,22
Denton,81848,31381,1079
DeWitt,3023,7,86
Dickens,149,126,15
Dimmit,3126,707,47
Donley,297,372,18
Duval,1635,379,60
Eastland,1583,712,87
Ector,13495,14102,564
Edwards,243,96,8
El Paso,164894,722,3064
Ellis,27251,7437,489
Erath,4469,2084,108
Falls,2298,328,51
Fannin,3311,1850,154
Fayette,2228,1451,94
Fisher,451,1,19
Floyd,678,612,40
Foard,146,42,10
Fort Bend,90443,15402,998
Franklin,934,483,37
Freestone,1669,1141,73
Frio,3307,920,78
Gaines,2200,3,67
Galveston,55951,10422,722
Garza,388,372,24
Gillespie,2408,1325,83
Glasscock,53,106,3
Goliad,358,314,28
Gonzales,2904,713,87
Gray,2932,1272,90
Grayson,16766,47,525
Gregg,9244,10319,584
Grimes,4795,580,109
Guadalupe,18206,7213,348
Hale,8273,5,201
Hall,485,129,15
Hamilton,1235,129,29
Hansford,469,731,27
Hardeman,396,64,14
Hardin,4308,6253,215
Harris,600320,1887,9678
Harrison,4504,4920,188
Hartley,765,208,2
Haskell,277,403,36
Hays,31020,3506,360
Hemphill,674,75,3
Henderson,6616,3492,353
Hidalgo,70152,48627,3183
Hill,4698,1279,170
Hockley,3841,744,139
Hood,6149,3916,215
Hopkins,3306,2304,150
Houston,1376,1561,89
Howard,3364,2560,149
Hudspeth,522,99,14
Hunt,8754,2585,314
Hutchinson,3314,961,103
Irion,65,133,2
Jack,909,142,22
Jackson,2373,427,52
Jasper,1635,2538,165
Jeff Davis,163,50,6
Jefferson,32376,101,733
Jim Hogg,639,307,20
Jim Wells,5887,1457,183
Johnson,23862,6148,585
Jones,2165,1185,79
Karnes,3686,618,58
Kaufman,19652,5071,448
Kendall,2943,2408,102
Kenedy,32,29,2
Kent,47,102,3
Kerr,3555,3746,142
Kimble,292,163,11
King,17,9,0
Kinney,459,68,10
Kleberg,3051,1347,133
Knox,229,150,22
La Salle,1120,326,40
Lamar,3564,5480,221
Lamb,2413,682,97
Lampasas,3097,561,70
Lavaca,2370,882,100
Lee,1469,1542,54
Leon,1882,646,72
Liberty,9839,3536,361
Limestone,2666,1055,111
Lipscomb,395,75,12
Live Oak,1292,472,38
Llano,1963,795,83
Loving,7,7,0
Lubbock,68885,862,1082
Lynn,918,13,28
Madison,2178,375,46
Marion,696,520,53
Martin,489,402,24
Mason,287,298,8
Matagorda,5122,1082,162
Maverick,12741,352,413
McCulloch,574,397,40
McLennan,43569,160,766
McMullen,94,24,8
Medina,4918,2215,171
Menard,183,173,11
Midland,27181,474,403
Milam,2179,1672,91
Mills,807,148,28
Mitchell,1023,3,43
Montague,2774,463,98
Montgomery,70599,20645,1131
Moore,2644,1076,92
Morris,1066,677,58
Motley,73,100,9
Nacogdoches,5752,2318,238
Navarro,4420,4666,193
Newton,432,542,54
Nolan,2550,4,83
Nueces,43014,20025,1129
Ochiltree,1418,223,38
Oldham,208,188,6
Orange,5485,8473,306
Palo Pinto,4317,658,126
Panola,1685,1356,111
Parker,19657,5712,353
Parmer,1089,542,43
Pecos,1904,486,58
Polk,2625,3395,219
Potter,25856,32,514
Presidio,678,248,28
Rains,755,791,49
Randall,26332,43,387
Reagan,251,383,10
Real,427,159,21
Red River,763,736,57
Reeves,1689,2082,59
Refugio,927,280,31
Roberts,100,16,1
Robertson,2416,580,68
Rockwall,13928,4257,225
Runnels,991,776,56
Rusk,4595,3737,190
Sabine,421,553,77
San Augustine,466,436,38
San Jacinto,2041,979,82
San Patricio,5395,1848,298
San Saba,678,328,29
Schleicher,190,178,9
Scurry,3452,164,87
Shackelford,190,376,7
Shelby,1726,1281,113
Sherman,238,73,16
Smith,21040,16566,835
Somervell,871,671,26
Starr,9429,2535,336
Stephens,656,638,37
Sterling,88,95,5
Stonewall,57,188,6
Sutton,325,322,11
Swisher,1010,522,25
Tarrant,309520,66072,4442
Taylor,9894,14109,606
Terrell,72,39,3
Terry,2262,119,70
Throckmorton,60,82,7
Titus,4041,2001,104
Tom Green,6127,13955,393
Travis,125102,677,1492
Trinity,1146,540,64
Tyler,1049,1470,72
Upshur,2365,3656,156
Upton,110,539,15
Uvalde,6041,438,118
Val Verde,10799,9,258
Van Zandt,4856,3517,229
Victoria,13142,22,357
Walker,10444,1535,188
Waller,5518,1272,87
Ward,1394,648,35
Washington,4861,1055,135
Webb,53705,3889,923
Wharton,5421,951,191
Wheeler,690,146,15
Wichita,22649,28,540
Wilbarger,2138,397,72
Willacy,4365,605,114
Williamson,68676,11986,736
Wilson,5487,2301,143
Winkler,1070,303,32
Wise,9801,2052,209
Wood,3696,3064,236
Yoakum,1308,67,35
Young,2662,406,74
Zapata,1693,556,46
Zavala,2189,396,56
Incomplete Address,996,57,
Unknown,,,17
Grand Total,,,73859
